,ava,state,year,area,climate,grapes
166,Mesilla Valley,New Mexico,1985,"280,000 acres (1,133 km2)",,Black Muscat|Cabernet Sauvignon|Chardonnay|Dolcetto|Malvasia|Merlot|Mourvedre|Muscat of Alexandria|Primitivo|Riesling|Sangiovese|Viognier|Zinfandel
167,Middle Rio Grande Valley,New Mexico,1988,"278,400 acres (112,664 ha)",Continental,Zinfandel|Cabernet Sauvignon|Syrah|Riesling
168,Mimbres Valley,New Mexico,1985,"636,800 acres (257,704 ha)",Arid,Cabernet Sauvignon|Chardonnay|Merlot|Syrah
169,Cayuga Lake,New York,1988,460 acres (186 ha),Continental,Baco noir|Cabernet Franc|Cabernet Sauvignon|Catawba|Cayuga|Chambourcin|Chancellor|Chardonnay|Concord|Delaware|Diamond|Gewurztraminer|Isabella|Ives noir|Lemberger|Marechal Foch|Melody|Merlot|Niagara|Pinot gris|Pinot noir|Riesling|Sangiovese|Seyval blanc|Syrah|Traminette|Vidal blanc|Vignoles|Viognier
170,Finger Lakes,New York,"1982, amended in 1987","2,600,000 acres (1,052,183 ha)",Continental,Baco noir|Cabernet Franc|Cabernet Sauvignon|Catawba|Cayuga White|Chambourcin|Chancellor|Chardonnay|Chelois|Colobel|Concord|Corot noir|De Chaunac|Delaware|Diamond|Dornfelder|Gamay noir|Geisenheim|Gewürztraminer|Himrod|Isabella|Ives noir|Lakemont|Lemberger|Leon Millot|Malbec|Marechal Foch|Melody|Merlot|Muscat Canelli|Muscat Ottonel|Niagara|Noiret|Pinot blanc|Pinot gris|Pinot Meunier|Pinot noir|Riesling|Rkatsiteli|Rougeon|Saperavi|Sauvignon blanc|Sereksiya Charni|Severnyi|Seyval blanc|Siegfried|St. Vincent|Syrah|Traminette|Verdelet|Vidal blanc|Vignoles|Villard noir|Villard blanc|Vincent|Viognier
171,Hudson River Region,New York,1982,"224,000 acres (90,650 ha)",Continental,Baco noir|Cabernet Franc|Cabernet Sauvignon|Cayuga|Chambourcin|Chancellor|Chardonnay|Chelois|De Chaunac|Frontenac|Lemberger|Marechal Foch|Merlot|Pinot noir|Riesling|Seyval blanc|St. Pepin|Traminette|Vidal blanc
172,Lake Erie,New York,1983,"2,236,800 acres (905,200 ha)",Continental,Aurore|Auxerrois|Baco noir|Cabernet Franc|Cabernet Sauvignon|Catawba|Cayuga|Chambourcin|Chancellor|Chardonnay|Concord|De Chaunac|Delaware|Diamond|Edelweiss|Fredonia|Gewurztraminer|Ives noir|Lemberger|Leon Millot|Marechal Foch|Merlot|Niagara|Pinot gris|Pinot noir|Riesling|Seyval blanc|Steuben|Touriga Nacional|Traminette|Vidal blanc|Vignoles
173,Long Island,New York,2001,"749,146 acres (303,169 ha)",Maritime/continental/humid subtropical,Cabernet Franc|Cabernet Sauvignon|Chardonnay|Chardonnay Musque|Merlot|Niagara|Petit Verdot|Pinot gris|Pinot noir|Sauvignon blanc|Tocai Friulano
174,Niagara Escarpment,New York,2005,"18,000 acres (7,284 ha)",Continental,Baco noir|Cabernet Franc|Cabernet Sauvignon|Catawba|Chancellor|Chardonnay|Concord|Diamond|Merlot|Niagara|Pinot noir|Riesling|Seyval blanc|Siegfried|Steuben|Syrah|Malbec|Vidal blanc
175,North Fork of Long Island,New York,1988,"1,014,400 acres (410,513 ha)",Maritime,Cabernet Franc|Cabernet Sauvignon|Chardonnay|Chardonnay Musque|Gamay Beaujolais|Gewurztraminer|Malbec|Merlot|Petit Verdot|Pinot blanc|Pinot Meunier|Pinot noir|Riesling|Sangiovese|Sauvignon blanc|Semillon|Syrah|Viognier
176,Seneca Lake,New York,"1988, amended 2003","204,600 acres (82,799 ha)",Continental,Baco noir|Cabernet Franc|Cabernet Sauvignon|Catawba|Cayuga|Chardonnay|Delaware|Gewurztraminer|Melody|Merlot|Niagara|Pinot noir|Riesling|Sangiovese
177,"The Hamptons, Long Island",New York,1988,"136,448 acres (55,219 ha)",Maritime,Aligote|Cabernet Franc|Cabernet Sauvignon|Chardonnay|Dornfelder|Gewurztraminer|Lemberger|Merlot|Muscat Ottonel|Pinot blanc|Pinot gris|Pinot Meunier|Pinot noir|Sauvignon blanc|Semillon|Tocai Friulano
178,Champlain Valley of New York,New York,,,,
179,Upper Hudson,New York,"July 30, 2015 accepted as perfected",1650 square miles,Continental,Marquette|Frontenac|La Crosse|Cayuga|Melody
180,Appalachian High Country,North Carolina,,,,
181,Haw River Valley,North Carolina,,,,Cabernet Franc|Syrah|Chardonnay|Traminette
182,Swan Creek,North Carolina,2008,180 square miles (470 km2),Humid subtropical,Chambourcin|Petit Verdot|Traminette|Viognier|Montepulciano|Sangiovese|Pinot Grigio|Vermentino
183,Upper Hiwassee Highlands,North Carolina,2014,690 square miles,Humid subtropical/maritime,Vidal Blanc|Chambourcin|Cabernet Sauvignon|Chardonnay
184,Yadkin Valley,North Carolina,2002,"1,400,000 acres (5,666 km2)",Humid subtropical/maritime in highlands,Aleatico|Barbera|Cabernet Franc|Cabernet Sauvignon|Chambourcin|Chardonnay|Malbec|Malvasia|Merlot|Montepulciano|Muscat Canelli|Nebbiolo|Niagara|Petit Verdot|Pinot gris|Pinot noir|Riesling|Sangiovese|Cynthiana/Norton|Sauvignon blanc|Seyval blanc|Syrah|Vermentino|Viognier
185,Lake Erie,Ohio,1983,"2,236,800 acres (905,200 ha)",Continental,Aurore|Auxerrois|Baco noir|Cabernet Franc|Cabernet Sauvignon|Catawba|Cayuga|Chambourcin|Chancellor|Chardonnay|Concord|De Chaunac|Delaware|Diamond|Edelweiss|Fredonia|Gewurztraminer|Ives noir|Lemberger|Leon Millot|Marechal Foch|Merlot|Niagara|Pinot gris|Pinot noir|Riesling|Seyval blanc|Steuben|Touriga Nacional|Traminette|Vidal blanc|Vignoles
186,Grand River Valley,Ohio,1983,"125,000 acres (50,586 ha)",Continental,Cabernet Franc|Chambourcin|Chardonnay|Gewurztraminer|Merlot|Niagara|Pinot gris|Pinot noir|Riesling|Vidal blanc
187,Isle St. George,Ohio,1982,640 acres (259 ha),Continental,Cabernet Sauvignon|Catawba|Chardonnay|Concord|Gewürztraminer|Pinot gris|Pinot noir|Riesling
188,Loramie Creek,Ohio,1982,"3,600 acres (1,457 ha)",Continental,Baco Noir
189,Ohio River Valley,Ohio,"69, amended in 1987","16,640,000 acres (26,000 sq mi) (67,300 sq km)",Continental/humid subtropical,Cabernet Franc|Cabernet Sauvignon|Catawba|Cayuga|Chambourcin|Chardonnay|Concord|De Chaunac|Marechal Foch|Melon|Merlot|Niagara|Pinot blanc|Pinot gris|Pinot noir|Reliance|Riesling|Rougeon|Roussanne|Sauvignon blanc|Sémillon|Seyval blanc|Steuben|Syrah|Traminette|Vidal blanc|Viognier
190,Ozark Mountain,Oklahoma,"1986, amended 1988","3,520,000 acres (1,424,493 ha)",Continental/humid subtropical,Catawba|Chambourcin|Chardonel|Concord|Norton|St. Vincent|Vidal blanc|Vignoles|Villard noir
191,Applegate Valley,Oregon,2000,27 acres (0 km2),Maritime,Cabernet Franc|Cabernet Sauvignon|Chardonnay|Merlot|Riesling|Syrah|Tempranillo|Zinfandel
192,Chehalem Mountains,Oregon,2006,"1,600 acres (647 ha)","Woodland, Pacific Northwest, Maritime",Chardonnay|Pinot blanc|Pinot gris|Pinot noir|Riesling|Syrah|Auxerrois blanc
193,Columbia Gorge,Oregon,2004,"4,432 acres (1,794 ha)",Maritime/continental,Barbera|Cabernet Sauvignon|Chardonnay|Chenin blanc|Gewurztraminer|Lemberger|Merlot|Pinot blanc|Pinot gris|Pinot noir|Sangiovese|Sauvignon blanc|Syrah|Tempranillo|Viognier|Zinfandel
194,Columbia Valley,Oregon,1984,"11,000,000 acres (4,500,000 ha)",Continental/Mediterranean,Barbera|Black Muscat|Cabernet Franc|Cabernet Sauvignon|Carmenere|Chardonnay|Chenin blanc|Counoise|Gamay Beaujolais|Gamay noir|Gewurztraminer|Grenache|Lemberger|Malbec|Marsanne|Merlot|Morio Muskat|Mourvedre|Muscadelle|Muscat Canelli|Nebbiolo|Orange Muscat|Petit Verdot|Petite Sirah|Pinot blanc|Pinot gris|Pinot Meunier|Pinot noir|Riesling|Roussanne|Royalty|Sangiovese|Sauvignon blanc|Semillon|Siegerrebe|Syrah|Viognier|Zinfandel
195,Dundee Hills,Oregon,2004,"6,490 acres (2,626 ha)",Maritime,Chardonnay|Müller-Thurgau|Pinot blanc|Pinot gris|Pinot noir|Riesling
196,Elkton Oregon,Oregon,,,,
197,Eola-Amity Hills,Oregon,2006,"39,045 acres (15,801 ha)",Maritime,
198,McMinnville,Oregon,2005,"40,500 acres (16,390 ha)",Maritime,Pinot blanc|Pinot gris|Pinot noir|Riesling
