,title,wine,vintage,vinyard,variety,avi,region,state,alcohol_content,size,winetype,price,score,dt_published,taster
3124,St. Supéry 2014 Estate Vineyard Merlot,St. Supéry,2014,Estate Vineyard,Merlot,Rutherford,Napa,California,14.5%,750 ml,Red,$50,90,2/1/2019,Virginie Boone
3125,Stephanie 2014 Malbec,Stephanie,2014,Estate Vineyard,Malbec,Napa Valley,Napa,California,14.7%,750 ml,Red,$55,90,2/1/2019,Virginie Boone
3126,Wagner 2017 Semi-Dry Riesling,Wagner,2017,Semi-Dry,Riesling,Finger Lakes,Finger Lakes,New York,12.5%,750 ml,White,$15,90,2/1/2019,Alexander Peartree
3127,Wilson Creek 2015 Winemaker's Reserve Zinfandel,Wilson Creek,2015,Winemaker's Reserve,Zinfandel,Temecula Valley,South Coast,California,15.5%,750 ml,Red,$40,90,2/1/2019,Matt Kettmann
3128,Wood Family Vineyards 2016 Big Wood Zinfandel,Wood Family Vineyards,2016,Big Wood,Zinfandel,Livermore Valley,Central Coast,California,16.2%,750 ml,Red,$34,90,2/1/2019,Jim Gordon
3129,Zaca Mesa 2016 Toyon Red,Zaca Mesa,2016,Toyon,"Red Blends, Red Blends",Santa Ynez Valley,Central Coast,California,14.5%,750 ml,Red,$38,90,2/1/2019,Matt Kettmann
3130,Altvs 2015 Cabernet Sauvignon,Altvs,2015,Toyon,Cabernet Sauvignon,Coombsville,Napa,California,15%,750 ml,Red,$75,90,2/1/2019,Virginie Boone
3131,Belden Barns 2016 Estate Grown Chardonnay,Belden Barns,2016,Estate Grown,Chardonnay,Sonoma Mountain,Sonoma,California,14.2%,750 ml,White,$36,90,2/1/2019,Virginie Boone
3132,Big Basin 2015 Coastview Vineyard Terraces Syrah,Big Basin,2015,Coastview Vineyard Terraces,Syrah,Monterey County,Central Coast,California,13.5%,750 ml,Red,$55,90,2/1/2019,Matt Kettmann
3133,Binz 2017 White Grenache,Binz,2017,White,Grenache,Fiddletown,Sierra Foothills,California,14.5%,750 ml,White,$24,90,2/1/2019,Jim Gordon
3134,Brooks 2017 Amycas White,Brooks,2017,Amycas,White Blend,Willamette Valley,Willamette Valley,Oregon,13%,750 ml,White,$18,90,2/1/2019,Paul Gregutt
3135,Christophe 2015 Explorer's Series Cabernet Sauvignon,Christophe,2015,Explorer's Series,Cabernet Sauvignon,Oak Knoll District,Napa,California,15%,750 ml,Red,$50,90,2/1/2019,Virginie Boone
3136,Concannon 2017 Reserve Assemblage Blanc White,Concannon,2017,Reserve Assemblage Blanc,White Blend,Livermore Valley,Central Coast,California,14.5%,750 ml,White,$26,90,2/1/2019,Jim Gordon
3137,Criss Cross 2016 Estate Grown Petite Sirah,Criss Cross,2016,Estate Grown,Petite Sirah,Clarksburg,Central Valley,California,14%,750 ml,Red,$20,90,2/1/2019,Jim Gordon
3138,Dutton Estate 2017 Kylie's Cuvée Dutton Ranch Sauvignon Blanc,Dutton Estate,2017,Kylie's Cuvée Dutton Ranch,Sauvignon Blanc,Russian River Valley,Sonoma,California,14.5%,750 ml,White,$27,90,2/1/2019,Virginie Boone
3139,Edna Valley Vineyard 2017 Winemaker Series Sauvignon Blanc,Edna Valley Vineyard,2017,Winemaker Series,Sauvignon Blanc,Edna Valley,Central Coast,California,13.9%,750 ml,White,$30,90,2/1/2019,Matt Kettmann
3140,Experience 2015 Cabernet Sauvignon,Experience,2015,Winemaker Series,Cabernet Sauvignon,Napa Valley,Napa,California,14.2%,750 ml,Red,$28,90,2/1/2019,Virginie Boone
3141,Faust 2016 Cabernet Sauvignon,Faust,2016,Winemaker Series,Cabernet Sauvignon,Napa Valley,Napa,California,14.9%,750 ml,Red,$60,90,2/1/2019,Virginie Boone
